 诺基亚5230	 2013-04-17 230903	 省电，相对安卓。然后就没了。。。。	 好慢，扫描500多首歌用了10分钟。。。我去，软件安装也慢，反正一个字，慢。但是考虑到400mhz的U达到这样的水平我应该写到优点里去吧，	 诺基亚放弃塞班真不明智，塞班继续改改，还是能够非常好用的，可惜现在诺基亚越来越烂了
 苹果iPhone 5（32GB）	 2013-04-14 224025	 入手差不多1个多月了。之前用的安卓。刚入手的时候，用的不太习惯。系统毕竟不太一样。但是屏幕的效果及处理的速度确实非常好。简单说下自己的使用心得1 轻薄方便，一开始考虑过三星，但最后还是入手了苹果。个人觉得，虽然苹果的电量不太让人满意，但是相比大屏机，在使用时间上也差不了多少。2 效果，目前没有无法处理的游戏。3 用的还不错，其他优点暂时没想到，但试用上确实挺好的。	 1 电量确实不太让人满意，需要随身携带数据线或移动电源2 不越狱的话，很多软件都需要花钱，这是之前安卓时没有考虑过的。3 软件效果，之前安卓的后遗症，很多软件找不到替代品，导致试用上不太舒服。如来电显示地区、输入法等等。4 蓝牙不方便，只能苹果之间使用。想换铃声，特别麻烦，必须要用Itunes才可以。音乐和视频也是，不仅是要用电脑，而且电脑里必须有itunes才可以。	 之前用过安卓的同学，刚开始入手的时候会不习惯。本人没有越狱。目前最大的感触除了电量补太禁用外，自己感觉其他点上与市面上的手机持平或者更好。如果是比较喜欢尝鲜，之前又没有用过苹果的，入手还是不错的。自己的是白色的，没有出现掉漆的现象，拍照效果也还可以，不如之前想象的那么好。
 苹果iPhone 5（32GB）	 2013-04-14 182410	  我以前是一名果粉，现在依然旧。但是这次换手机我毅然放弃了iphone，选择了三星。iphone的外观不用质疑，绝对是一级棒 。iphone5的宣传片我也看了无数遍，真机也把玩了许久，超强的照相性能 ，出色的siri，3d的自家地图，强大的游戏性能，都超越一切手机，不要用诺基亚920来跟iphone比照相  ，难道天天拿着手机照相？别的什么都不干？一点娱乐都没有说苹果不好的敢问你知道苹果的精化么	 苹果的功能很强大，新增加siri，Facebook，twitter，passbook，逐向道路导航，3d建筑展示，餐馆预订，敢问买iphone的可以用到几个？这次iphone5外在上没有太大更新 而是更多的加入了一些新应用 ，然而我的4s更新版本也是可以用上的，然而买iphone的最新款只有三种人，一种是为了感受到现代科技给你的背推感而买，一种是果粉，最后一种就是虚荣心旺盛的人，但都两种无话可说	  不管怎样，大陆的励志片把iphone宣传的太到位了，明星清一色全用iphone，但是第一种喜欢背推感的人，iphone就太不值了，他没有一点科技创意 创新，如谚语所说，学如逆水行舟不进则推，手机也是这样 不革新就变成了过时品。我从iphone3一直用到iPhone4s  一共4部 ，  对iphone5已经出现视觉思考了，觉得5真的不值，这次只能打3星，缺点一定都心知肚明，蓝牙就是摆设，掉漆…
 苹果iPhone 5（32GB）	 2013-04-13 132655	 苹果的手机做工不错，金属机身，很有质感，系统运行流畅	 续航太短，刚充满电，看看网页，视频，4个小时差不多没电了，放个歌曲视频，还要同步，麻烦死了，复制，粘贴就好了吗？	 总之是一部比较好的手机，一流的做工
 苹果iPhone 5（32GB）	 2013-04-12 130229	 外观精美，ios软件多多。有些软件确实比安卓精致，数据线做了改进确实不错，运行游戏程序快，流畅。拍照算是走在目前手机的前沿。还有全景模式相机。对1440毫安电池来说，iphone5确实待机真的很不错，每天接几个电话，可以待机2天。发热是安卓机的通病，在iphone5身上确实也有发热，是玩大型3D游戏，但是发热确实真的不像安卓机那样烫手的温度，看视频没有感觉到丝毫的发热现象。安卓机就不同了。本人用过2台安卓机。	 机壳软，只要不带保护壳，磕碰就会留印子，容易刮花，喜欢丢三落四的最好别买，或者买套。本人白色未发现有掉漆现象，黑色的，我看过确实会掉漆。没有越狱，没有快捷键，确实没有安卓操作灵活。内存文件管理要第三方软件才能弄，蓝牙不能连接其他牌子的手机。不能支持flash，有少数视频网站不能播放视频（国内还没有发现），5只能用nano卡，还有好多程序只支持到3.5寸的屏幕。iphone5用上了就有上下两条黑边。苹果公司还好只加长了，要是加宽了，那不是就是一个黑框了。	 用了3个月，也越狱过，感觉还是不错的。优点跟缺点都是我遇到的，全写出来了。但是优点确实比缺点更优越。总体5是综合实力不错的手机。可惜没有3.8星半，只能给4星。给5星的太夸张了。
 苹果iPhone 5（32GB）	 2013-04-11 231201	 外形满意 因为是白色I 未见掉漆 	 自买来之后就没能用移动网络进去过苹果商店和itunes 真是头疼的要命 用无线网就能进去 但是下载速度慢的很 比三星双核的都慢 电池更不用说了 照相机一开始有粉紫色光 刚用了12天就有卡机现象	 价钱和机身本身价值差距太大 貌似欺骗消费者
 苹果iPhone 5（32GB）	 2013-04-10 130723	 机身挺薄。。总结喜欢的朋友还是可以购买的。	 用了一个多月，就已经出现问题了，我的是白色的小5，掉漆问题倒是还没出现。就是打开照相功能的时候，屏幕有时候会出现紫粉色的竖型条纹。有的时候甚至打不开相机功能。玩一些应用程序，会存在闪退的现象。最愁人的是没越狱，没有好的输入法，打字真心累，好不习惯的	 我劝大家还是不要购买，毫无新意，苹果开始走下坡了！！能国产的小米，魅族都比它要好
 苹果iPhone 5（32GB）	 2013-04-09 125252	 外形自己很喜欢	 打游戏  有时候会卡机  打开屏幕锁有时候也卡  像素不怎么样 就连有时候3G信号它也给你自动开启 3G信号应该是我越狱了系统出现漏洞导致的 还有不赖摔 好死不死 上面那金边被俺摔了一个小口子  我是白色 到没像他所说的那样脱漆 还有 用3G信号用多了它整个机身特别是他的上身发烫  价格偏高  我买成5899元  	    价格偏高又不怎么保修    我们这边也不好修 坏个零件 几百块   也不好用  乱费钱  以后不会买苹果手机了  忽悠人的垃圾手机
 苹果iPhone 5（32GB）	 2013-04-08 163250	 1、个人觉得外观比前一代好看修长的机身很有型；2、很流畅，无卡顿的情况，这一点是大多数安卓机做不到的；3、拍照效果好，成像速度快；4、icloud的确很好；6、iMessage很好用，与是苹果的都可以流量来发短信；5、siri支持中文	 1、最头痛的莫过于掉漆的问题，真的十分严重不得不戴套套；2、关后台程序太不方便了；3、不支持九宫格打字，键盘太小导致很容易打错；4、无线网链接不稳定；5、有些自带程序没意思，比如：天气、地图；6、电池很令人头痛，不得不随身带充电器和移动电源；7、AppStore和itunes下东西经常慢的人着急	 用了三个月了，虽然这样哪样的缺点，但总体感觉还是非常喜欢的，不管怎么说我还是希望苹果更吸取广大用户提出的建议，依然期待ios7，依然期待iphone6。
 苹果iPhone 5（32GB）	 2013-04-07 175630	   外观漂亮，金属阳极氧化吕材质。有手感拍照处理成很好，系统流畅。	   缺点就一大堆了1、首先就是3D地图了一塌糊涂2、拍照出现紫光晕3、再就是掉漆门特别是黑色材质偏软容易变形4、连如今主流的NFC近场通讯都没加入实在是一大败笔5、双核处理器人家别的厂商早就四核了，像素也才800万、屏幕在4.5~5.0之间比较合适（个人意见）6、就是价格与售后了在中国价格可以说是卖的最高的和最火的可你苹果公司是怎么对我们的要不是3.15我想你苹果公司也不会让步了。	     总结：外观比上款有改进变得更漂亮了、32针变成8针方便了。其它配置就不怎么出色了价格偏高人民币应在4000
 苹果iPhone 5（32GB）	 2013-04-06 212400	 外观没得说，拿出去高端大气上档次，询问率高~！系统稳定~！！	 才用八天，屏幕就出现花屏，死机现象，强制开关机都不行，恢复系统也不行，更新系统也不行，苹果售后说要拿去给他们检测才给我换，具体时间还说不清楚，真败了~！！	 苹果五真是垃圾中的战斗机~！！
 苹果iPhone 5（32GB）	 2013-04-06 145604	 机身漂亮；耳机音质确实很棒；玩大型游戏没压力，比起其他的安卓手机来速度快，够刺激，够3D其他的，已经让网友说得差不多了。	 下载视频很慢，且久了会有点小小小的发烧；最麻烦的一个，下载东西要ID账号，且价格小贵，没必要实在拥有的话都可以买两个安卓手机了。拍照时把照片最大化时很模糊，出现严重的紫光现象，个人觉得还不如安卓手机的500像素。	 以前总羡慕拿ip的盆友们，想拥有一部所以才买的，但买了之后用了1个月就后悔了，什么软件都很难弄，现在想想有点喜欢oppo的X909
 苹果iPhone 5（32GB）	 2013-04-06 125825	 轻巧方便，手感可以	 脆弱，不经摔，电池用半天是最烦人的，那个卡又被剪成那么小，手机说?电就?电，又不能用其他手机，卡太特别了，太烦人了。	 苹果有个性是个事实，但我花钱买来的，我并不是什么果粉，适合我方便我，我就用它，整天要带上个充电器出门也很无奈，现在好了，换了一台7100，不会再上苹果的当了。
 苹果iPhone 5（32GB）	 2013-04-05 013510	 操作简单，速度较快，游戏多而流畅，大小适中作为手机这个尺寸再合适，轻薄了一些可以是优点也可以是缺点，芯片布局看的出苹果的设计很用心。	 首先是系统，优势渐渐也失去，或者说不少方面反而成为了劣势，就拿多任务来说，别的手机可以后台处理一些程序，这就避免了等待的时间，前台做的再好有啥用，还不是要等待吗？虽然设计上很精致用心，但是从拆机看来，用料上很不扎实，在旗舰机中算差的，和诺基亚摩托罗拉那种厚重扎实的做工差了不少，比例失调，如果横向稍微宽一点，也就是带上壳子的宽度，那么无论是比例感还是结实感都会好很多。	 我是一个安卓用户，有ipad mini，但是很欣赏ios和iphone，我买过好几台旗舰机为啥没买iphone?因为我是在校学生，有时候需要邮件发送下载东西，或者课上处理一些文档，等等，一些简单的事，用手机确实方便，但是很遗憾，我需要的很多事在ios上即便越狱也可望不可及。我是一个追求完美的用户，但是和苹果眼中的完美完全是两个方向的，距离产生好感，难道不是吗？最后，当我第一次接触到ios和android的时候我在意的是有什么样的功能，和其他手机哪儿不一样，能做哪些一般手机干不了的事，而如今，无非就是游戏是否流畅，拍照怎样，开网页速度怎样，后台能开多少，无非就是这些，似乎体验完全变成了一些冰冷的参数罢了，有意思吗？这些功能手机真的好吗？肯定没法和专业设备的十分之一比了，所以最后我还是回归到邮件，下载，文档等这些日常功能了，算是一种退烧吧？
 苹果iPhone 5（32GB）	 2013-04-04 155917	 已经用iphone5一星期了。在买之前我在网上看了大家的点评还有关于iphone5的信息。说的什么紫光，掉漆，wifi.说的都很严重。 我的黑色的iphone5拍照的确有紫光但是要仔细找角度拍才能拍到一点紫光。至于wifi没有碰到。只要不嗑不碰就不会掉漆的。带个套就没事了。拍照很清晰，屏幕分辨率高。屏幕比4S大玩游戏爽，一边下载一边玩大型游戏听歌挂QQ无压力，不越狱游戏也够玩的了。运行速度很快，一点都不卡。比4S,4轻多了，而且薄。 好看。手感好。耳机很棒。                     	 缺点就是掉漆吧，有点担心呵。 电量和我以前用的米1S感觉还是iphone5给力。其实智能机电量都差不多，玩一天可以的。都是一天一充。如果电量能大点，多一倍。玩起来多爽。	 iphone5还是挺完美的。其实真的比4，4S。好、      希望iphone5s能更给力，更完美。
